collection,slug,url,category,suggestedRisk,declaredYmylRisk,returnsDoseOrTreatment,personalizedRecommendation,hasProfessionalReviewer,currentlyIndexable,currentlyRestricted,matchedTerms,reasons,recommendedAction
calcs,calculadora-cold-plunge-tiempo-temperatura-cortisol,/calculadora-cold-plunge-tiempo-temperatura-cortisol,salud,high,low,true,false,false,true,false,"dosis; insulina; medicacion; enfermedad","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Dosis/medicación: dosis, insulina; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-comida-diaria-conejo-peso,/calculadora-comida-diaria-conejo-peso,mascotas,high,low,false,true,false,true,false,"dosis; ml/kg; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis, ml/kg; Señales clínicas: enfermedad; Dosis/medicación veterinaria (categoría mascotas)",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-comida-gato-diaria-gramos,/calculadora-comida-gato-diaria-gramos,mascotas,high,low,false,true,false,true,false,"ml/kg; sintomas; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: ml/kg; Señales clínicas: sintomas, enfermedad; Dosis/medicación veterinaria (categoría mascotas)",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-comida-perro-diaria-gramos,/calculadora-comida-perro-diaria-gramos,mascotas,high,low,false,true,false,true,false,"suplemento; sintomas","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: sintomas; Dosis/medicación veterinaria (categoría mascotas)",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-comida-yorkshire-terrier-porcion-diaria-edad,/calculadora-comida-yorkshire-terrier-porcion-diaria-edad,mascotas,high,low,false,true,false,true,false,"sintomas; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: sintomas, enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-conejo-comida-heno-peso-edad,/calculadora-conejo-comida-heno-peso-edad,mascotas,high,low,false,false,false,true,false,"ml/kg; medicacion; suplemento","Término de riesgo alto en slug/título/outputs: suplemento; Dosis/medicación: ml/kg; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-costo-fiv-argentina,/calculadora-costo-fiv-argentina,salud,high,low,true,false,false,true,false,"medicacion; tratamiento","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Término de riesgo alto en slug/título/outputs: medicacion; Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-co,calculadora-cuota-moderadora-copago-eps-colombia-2026,/co/calculadora-cuota-moderadora-copago-eps-colombia-2026,vida,high,low,false,false,false,true,false,"medicamento; enfermedad","Término de riesgo alto en slug/título/outputs: medicamento; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-dias-sin-fumar-ahorro-salud,/calculadora-dias-sin-fumar-ahorro-salud,salud,high,low,true,false,false,true,false,"tratamiento; diagnostico; enfermedad","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-edad-quitar-panal-control-esfinteres,/calculadora-edad-quitar-panal-control-esfinteres,familia,high,low,false,true,false,true,false,"tratamiento; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Tratamiento/retorno deportivo: tratamiento; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-expectativa-vida-reptiles-especie,/calculadora-expectativa-vida-reptiles-especie,mascotas,high,low,false,true,false,true,false,enfermedad,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-expectativa-vida-tortuga-terrestre,/calculadora-expectativa-vida-tortuga-terrestre,mascotas,high,low,false,true,false,true,false,suplemento,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación veterinaria (categoría mascotas)",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-exposicion-sol-vitamina-d,/calculadora-exposicion-sol-vitamina-d,salud,high,low,true,false,false,true,false,"dosis; suplemento; enfermedad","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Dosis/medicación: dosis; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-fibra-dietetica-recomendada-diaria-edad,/calculadora-fibra-dietetica-recomendada-diaria-edad,salud,high,low,false,true,false,true,false,"suplemento; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-frecuencia-cardiaca-reposo-categorias-deportistas-edad,/calculadora-frecuencia-cardiaca-reposo-categorias-deportistas-edad,salud,high,low,false,true,false,true,false,"medicacion; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Término de riesgo alto en slug/título/outputs: medicacion; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-hidratacion-corredor-maraton-carrera,/calculadora-hidratacion-corredor-maraton-carrera,deportes,high,low,false,true,false,true,false,"miligramos; sintomas","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: miligramos; Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-horas-de-sueno-por-edad,/calculadora-horas-de-sueno-por-edad,salud,high,low,false,true,false,true,false,"dosis; insulina; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis, insulina; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-horas-sueno-necesarias-edad-adulto,/calculadora-horas-sueno-necesarias-edad-adulto,salud,high,low,false,true,false,true,false,"insulina; tratamiento; diagnostico; sintomas","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: insulina; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-imc-infantil-percentil,/calculadora-imc-infantil-percentil,salud,high,low,false,true,false,true,false,"diagnostico; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Tratamiento/retorno deportivo: diagnostico; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-pt,calculadora-imc-tabela-oms-classificacao,/pt/calculadora-imc-tabela-oms-classificacao,salud,high,low,false,false,false,true,false,diagnostico,Tratamiento/retorno deportivo: diagnostico,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-indice-cintura-altura-whtr-riesgo,/calculadora-indice-cintura-altura-whtr-riesgo,salud,high,low,false,true,false,true,false,"insulina; tratamiento; diagnostico; sintomas; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: insulina; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: sintomas, enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-indice-glucemico-por-alimento,/calculadora-indice-glucemico-por-alimento,salud,high,low,false,false,false,true,false,insulina,"Término de riesgo alto en slug/título/outputs: insulina; Dosis/medicación: insulina","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-co,calculadora-iva-bienes-exentos-excluidos-colombia-2026,/co/calculadora-iva-bienes-exentos-excluidos-colombia-2026,impuestos,high,low,true,false,false,true,false,"medicamento; tratamiento; diagnostico","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Término de riesgo alto en slug/título/outputs: medicamento; Tratamiento/retorno deportivo: tratamiento, diagnostico",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-jet-lag-recuperacion,/calculadora-jet-lag-recuperacion,viajes,high,low,false,true,false,true,false,"dosis; gotas; magnesio; sintomas","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis, gotas; Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-ec,calculadora-licencia-paternidad-ecuador,/ec/calculadora-licencia-paternidad-ecuador,familia,high,low,false,false,false,true,false,"suplemento; diagnostico; enfermedad","Término de riesgo alto en slug/título/outputs: suplemento; Tratamiento/retorno deportivo: diagnostico; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-ovulos-congelados-vitrificacion-precio-clinica,/calculadora-ovulos-congelados-vitrificacion-precio-clinica,vida,high,low,false,false,false,true,false,"medicacion; tratamiento; diagnostico","Término de riesgo alto en slug/título/outputs: medicacion; Tratamiento/retorno deportivo: tratamiento, diagnostico","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-oxalatos-calculos-renales,/calculadora-oxalatos-calculos-renales,salud,high,low,false,true,false,true,false,"dosis; miligramos; medicamento; suplemento; tratamiento; diagnostico; enfermedad; filtrado glomerular","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis, miligramos; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: enfermedad, filtrado glomerular",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-pami-prestaciones-monto-copago-2026,/calculadora-pami-prestaciones-monto-copago-2026,finanzas,high,low,true,false,false,true,false,"insulina; medicamento; medicacion; rehabilitacion","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Dosis/medicación: insulina; Tratamiento/retorno deportivo: rehabilitacion",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-es,calculadora-pareja-de-hecho-vs-matrimonio-espana-fiscal,/es/calculadora-pareja-de-hecho-vs-matrimonio-espana-fiscal,familia,high,low,false,true,false,true,false,tratamiento,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-paseos-perro-minutos-raza-energia,/calculadora-paseos-perro-minutos-raza-energia,mascotas,high,low,false,true,false,true,false,sintomas,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-pasos-diarios-recomendados-caminar-salud,/calculadora-pasos-diarios-recomendados-caminar-salud,salud,high,low,false,true,false,true,false,rehabilitacion,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Tratamiento/retorno deportivo: rehabilitacion",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-cl,calculadora-pension-alimenticia-chile-padre-tribunal-familia,/cl/calculadora-pension-alimenticia-chile-padre-tribunal-familia,familia,high,low,false,true,false,true,false,enfermedad,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-ph-suelo-correccion-calcio,/calculadora-ph-suelo-correccion-calcio,jardineria,high,low,false,false,false,true,false,"dosis; magnesio",Dosis/medicación: dosis,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-proteina-diaria-gramos-objetivo,/calculadora-proteina-diaria-gramos-objetivo,salud,high,low,false,true,false,true,false,enfermedad,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-proteina-diaria-objetivo,/calculadora-proteina-diaria-objetivo,salud,high,low,false,true,false,true,false,"dosis; suplemento; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-proteina-gramos-por-peso-actividad,/calculadora-proteina-gramos-por-peso-actividad,deportes,high,low,false,true,false,true,false,"dosis; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: dosis; Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-proteina-por-comida-anabolismo,/calculadora-proteina-por-comida-anabolismo,salud,high,low,false,false,false,true,false,dosis,Dosis/medicación: dosis,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-recuperacion-muscular-horas,/calculadora-recuperacion-muscular-horas,deportes,high,low,false,true,false,true,false,"insulina; lesion","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: insulina; Señales clínicas: lesion",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-repeticion-maxima-estimada,/calculadora-repeticion-maxima-estimada,deportes,high,low,false,true,false,true,false,lesion,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: lesion",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-riesgo-embarazo-edad,/calculadora-riesgo-embarazo-edad,salud,high,low,false,true,false,true,false,diagnostico,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Tratamiento/retorno deportivo: diagnostico",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-sueno-ideal-edad,/calculadora-sueno-ideal-edad,vida,high,low,false,true,false,true,false,"insulina; diagnostico; sintomas; enfermedad","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: insulina; Tratamiento/retorno deportivo: diagnostico; Señales clínicas: sintomas, enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-vacuna-calendario-nacional-anses,/calculadora-vacuna-calendario-nacional-anses,familia,high,low,false,false,false,true,false,"dosis; enfermedad","Dosis/medicación: dosis; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vacunas-bebe-calendario-2026-argentina-edad,/calculadora-vacunas-bebe-calendario-2026-argentina-edad,salud,high,low,false,false,false,true,false,"dosis; diagnostico; enfermedad","Dosis/medicación: dosis; Tratamiento/retorno deportivo: diagnostico; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vacunas-gato-calendario-gatito,/calculadora-vacunas-gato-calendario-gatito,mascotas,high,low,false,false,false,true,false,"dosis; enfermedad","Dosis/medicación: dosis; Señales clínicas: enfermedad; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vacunas-perro-calendario,/calculadora-vacunas-perro-calendario,mascotas,high,low,false,false,false,true,false,"dosis; comprimidos","Dosis/medicación: dosis, comprimidos; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vo2-max-futbolista-profesional-vs-amateur,/calculadora-vo2-max-futbolista-profesional-vs-amateur,salud,high,low,false,false,false,true,false,ml/kg,Dosis/medicación: ml/kg,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vo2-max-test-cooper,/calculadora-vo2-max-test-cooper,deportes,high,low,false,false,false,true,false,"ml/kg; enfermedad","Dosis/medicación: ml/kg; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vo2max-predecir-carrera-cooper-12min,/calculadora-vo2max-predecir-carrera-cooper-12min,salud,high,low,false,false,false,true,false,"ml/kg; sintomas; enfermedad","Dosis/medicación: ml/kg; Señales clínicas: sintomas, enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-vo2max-test-cooper-12-minutos,/calculadora-vo2max-test-cooper-12-minutos,deportes,high,low,false,false,false,true,false,"ml/kg; enfermedad","Dosis/medicación: ml/kg; Señales clínicas: enfermedad","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-zona2-cardio-frecuencia-edad-vo2max,/calculadora-zona2-cardio-frecuencia-edad-vo2max,deportes,high,low,false,true,false,true,false,enfermedad,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: enfermedad",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,cholesterol-total-ldl-hdl-levels,/en/cholesterol-total-ldl-hdl-levels,salud,high,low,true,false,false,true,false,tratamiento,"Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-pt,coelho-comida-feno-peso-idade,/pt/coelho-comida-feno-peso-idade,mascotas,high,low,false,false,false,true,false,"ml/kg; suplemento","Término de riesgo alto en slug/título/outputs: suplemento; Dosis/medicación: ml/kg; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,dog-vaccination-schedule-puppy-adult,/en/dog-vaccination-schedule-puppy-adult,mascotas,high,low,false,false,false,true,false,dosis,"Dosis/medicación: dosis; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,fasting-blood-glucose-levels,/en/fasting-blood-glucose-levels,salud,high,low,true,false,false,true,false,"insulina; medicacion; tratamiento; diagnostico; sintomas","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Término de riesgo alto en slug/título/outputs: medicacion, insulina; Dosis/medicación: insulina; Tratamiento/retorno deportivo: tratamiento, diagnostico; Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,fsh-lh-menopause-perimenopause-age,/en/fsh-lh-menopause-perimenopause-age,salud,high,low,false,true,false,true,false,sintomas,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: sintomas",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,hemoglobin-a1c-diabetes-calculator,/en/hemoglobin-a1c-diabetes-calculator,salud,high,low,true,false,false,true,false,"tratamiento; diagnostico","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: tratamiento, diagnostico",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,iron-ferritin-anemia,/en/iron-ferritin-anemia,salud,high,low,true,false,false,true,false,"suplemento; tratamiento","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Término de riesgo alto en slug/título/outputs: suplemento; Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,magnesio-dosis-deficiencia-sintomas,/en/magnesio-dosis-deficiencia-sintomas,salud,high,low,false,false,false,true,false,"dosis; magnesio; sintomas","Término de riesgo alto en slug/título/outputs: magnesio, dosis; Dosis/medicación: dosis; Señales clínicas: sintomas","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,magnesium-daily-requirement,/en/magnesium-daily-requirement,salud,high,low,false,false,false,true,false,"suplemento; magnesio","Término de riesgo alto en slug/título/outputs: suplemento, magnesio","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,postpartum-depression-screening,/en/postpartum-depression-screening,salud,high,low,true,false,false,true,false,"tratamiento; diagnostico","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: tratamiento, diagnostico",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,pral-urine-acidity,/en/pral-urine-acidity,salud,high,low,false,true,false,true,false,magnesio,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Término de riesgo alto en slug/título/outputs: magnesio",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,rabbit-diet-hay-pellets,/en/rabbit-diet-hay-pellets,mascotas,high,low,false,false,false,true,false,"ml/kg; suplemento","Término de riesgo alto en slug/título/outputs: suplemento; Dosis/medicación: ml/kg; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,spermiogram-reference-values-who-2021,/en/spermiogram-reference-values-who-2021,salud,high,low,false,false,false,true,false,diagnostico,Tratamiento/retorno deportivo: diagnostico,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,sports-hydration-electrolytes-exercise,/en/sports-hydration-electrolytes-exercise,salud,high,low,false,true,false,true,false,ml/kg,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: ml/kg",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,stages-of-grief-family-loss,/en/stages-of-grief-family-loss,familia,high,low,true,false,false,true,false,diagnostico,"Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: diagnostico",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,suplementos-deportivos-stack-principiante,/en/suplementos-deportivos-stack-principiante,salud,high,low,false,false,false,true,false,"dosis; mg/kg","Dosis/medicación: dosis, mg/kg","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
