prioridad,winnability,categoria,slug,keyword_ganable,intent,keywords_alt,razon
1,WINNABLE,ciencia,ibu-beer-hops-tinseth,beer IBU calculator Tinseth formula,Calcular los IBU (amargor) de una cerveza con la fórmula Tinseth,hop bitterness IBU calculator | calculate IBU from alpha acids boil time,"Nicho homebrewing técnico ultra-específico (fórmula Tinseth). SERP de sitios homebrew de DR media (brewersfriend), sin agregadores generalistas. Gap claro para intent preciso."
1,WINNABLE,cocina,bakers-percentage-calculator,bakers percentage calculator hydration,Calcular gramos de ingredientes desde porcentajes de panadero e hidratación,flour water hydration calculator baking | bakers math ingredient weight calculator,"Nicho panadería artesanal muy específico, buscadores serios (sourdough). SERP de blogs de baja DR, sin agregadores. Gap claro para calc precisa."
1,WINNABLE,cocina,bbq-meat-portions-per-person,how much meat per person for a bbq calculator,Cuánta carne cruda comprar por persona para un asado según corte y apetito,pounds of meat per person bbq | bbq meat portions by cut calculator,"SERP dominada por sitios party-calculator de DR media/baja (bbqpartycalculator, summerandcinnamon), NO por agregadores DR80. Intent transaccional-planificador con demanda estacional real. Ganable."
1,WINNABLE,cocina,birthday-cake-servings-calculator,cake servings by pan size calculator,Cuántas porciones rinde una torta según el diámetro/dimensiones del molde,how many people does a cake serve chart | birthday cake serving size calculator,"'birthday cake images' es un keyword totalmente nonsense (mismatch de intención). El real 'servings by pan size' tiene demanda de planificadores de fiestas y SERP de blogs, no agregadores. Muy ganable."
1,WINNABLE,cocina,dry-pasta-portions-per-person,how much dry pasta per person grams,Cuántos gramos de pasta seca cocinar por persona,pasta portion per person calculator | grams of pasta per person main dish,"Portion planner muy específico, intent claro. SERP de blogs de cocina de DR media, sin agregadores. Demanda constante y ganable."
1,WINNABLE,cocina,pizzas-by-guests,how many pizzas do I need for a party calculator,Cuántas pizzas pedir según cantidad de invitados y ocasión,how many pizzas per person | pizza party calculator by guests,"Party-portion planner con intent transaccional muy claro y demanda alta. SERP de blogs de fiestas + calculadoras de nicho, no agregadores YMYL. Muy ganable con la regla 3/8."
1,WINNABLE,cocina,priming-sugar-carbonation,priming sugar calculator carbonation grams,Cuántos gramos de azúcar de cebado para carbonatar cerveza embotellada,priming sugar for bottle conditioning calculator | CO2 volumes priming sugar chart,"Nicho homebrewing ultra-específico (azúcar de cebado). SERP de sitios homebrew de DR media (brewersfriend), sin agregadores. Gap muy limpio."
1,WINNABLE,cocina,rice-grams-per-person,how much rice per person grams calculator,Cuántos gramos de arroz crudo cocinar por persona,grams of raw rice per person | rice portion per person by meal type,"Portion planner específico y muy buscado. SERP de blogs de cocina de DR media, sin agregadores. Intent claro y ganable. Nota: posible canibalización con rice-portions-side-dish (índice 79)."
1,WINNABLE,cocina,srm-color-cerveza-morey,beer SRM color calculator Morey formula,Calcular el color SRM de una cerveza casera con la ecuación de Morey,calculate beer color SRM from malt | SRM color calculator homebrew,"Nicho homebrewing técnico (color SRM fórmula Morey). SERP de sitios homebrew de DR media, sin agregadores. Gap muy limpio para intent preciso."
1,WINNABLE,cocina,vodka-fruit-infusion-time,how long to infuse vodka with fruit chart,Cuántos días infusionar vodka según el ingrediente,vodka infusion time by ingredient | how long to infuse vodka berries citrus vanilla,Nicho muy específico y de baja competencia agregadora; tabla por ingrediente da info-gain real. Cero DR80 dominando.
1,WINNABLE,construccion,bricks-per-square-meter-wall,how many bricks per square meter of wall,Cuántos ladrillos por m² de pared según tipo,bricks per m2 calculator by brick size | number of bricks per square meter wall,"Query específica con tabla por tipo (US/UK), SERP de sitios de materiales de nicho; alto info-gain, ganable."
1,WINNABLE,construccion,ceramic-tile-adhesive-bags,how many bags of tile adhesive per square meter,Cuántas bolsas de adhesivo/pegamento de cerámica por m²,tile adhesive coverage calculator by tile size | bags of thinset mortar per m2 calculator,"Verifiqué SERP: dominada por sitios de nicho (Tiles360, TryBuildCalc, Mapei), no por big-4 agregadores. Intent de compra claro, ganable."
1,WINNABLE,construccion,grass-seed-per-m2-lawn,how much grass seed per square meter calculator,Cuántos gramos de semilla de césped por m² según especie,grass seed rate per m2 by species | lawn seed quantity calculator new lawn vs overseed,Query específica por m² y especie; SERP de jardinería de nicho (no big-4). Vol alto (3830) y ganable = joya.
1,WINNABLE,deportes,endurance-race-gel-calculator,how many energy gels for a race calculator,How many energy gels to carry based on race duration,energy gels needed for a marathon | gels per hour running calculator,"Very specific, question-shaped intent with strong runner demand and no aggregator competition. 'jbl endurance race 2' (k) is total brand-headphone nonsense."
1,WINNABLE,deportes,ftp-cycling-watts,ftp calculator from 20 minute test,Compute FTP and zones from the 20-minute test average watts,cycling ftp calculator watts | ftp from 20 min average power,"Cycling-specific, high-intent, well-known method; SERP is cycling niche sites not big aggregators. Strong steady demand. No k mapped."
1,WINNABLE,deportes,half-marathon-projection-from-10k-cameron,predict half marathon time from 10k,Project half-marathon finish from a 10K result (Cameron),half marathon time predictor from 10k | cameron formula half marathon,Race-prediction long-tail with clear intent and real demand; 'half marathon training plan' (k) is a content head mismatch. The prediction angle is winnable.
1,WINNABLE,deportes,heart-rate-zones-karvonen,karvonen heart rate zone calculator,Compute 5 HR training zones via Karvonen HRR method,heart rate reserve training zones calculator | hrr method training zones,Method-specific (Karvonen/HRR) is winnable vs the head 'heart rate zones'; 'normal heart rate' (k) is a health-info mismatch dominated by healthline/mayo. Strong demand on the method angle.
1,WINNABLE,educacion,anki-daily-flashcards-memorization-vocabulary,how many new anki cards per day to finish deck,Cuántas cartas nuevas por día en Anki para terminar el mazo a tiempo,anki new cards per day calculator | anki cards per day to finish deck on time,"SERP verificada: add-ons y foros de Anki, cero agregadores DR80. Intent hiper-específico, demanda decente (2.4k). Oportunidad top."
1,WINNABLE,educacion,english-levels-cambridge-duolingo-time-conversion,how long to reach each english cefr level in hours,Horas/semanas para pasar de un nivel CEFR de inglés al siguiente,english cefr level progression calculator | weeks to next english level by study hours,k 'duolingo english test' es navegacional de marca (mismatch). El intent real (tiempo por nivel CEFR) tiene alta demanda (6.7k) y SERP de blogs de idiomas. Gran oportunidad.
1,WINNABLE,educacion,ielts-toefl-cefr-equivalency,ielts to toefl score conversion,Convertir puntaje IELTS a TOEFL y a nivel CEFR,ielts toefl cefr equivalency table | convert ielts band to toefl ibt,"Conversión específica con concordancia oficial; SERP de sitios de exámenes medianos, no agregadores de calculadoras. Tabla completa = fuerte info-gain. Alta oportunidad."
1,WINNABLE,electronica,servo-pwm-angle,servo pwm pulse width to angle calculator,Convert servo PWM pulse width (ms/us) to rotation angle,servo pulse ms to degrees | 1500us servo angle calculator,"Confirmed gap: only one obscure calculator (38-3D) competes, rest are forum/tutorial. Clear Arduino/RC maker intent"
1,WINNABLE,entretenimiento,karaoke-songs-per-hour,how many karaoke songs per hour calculator,Estimate how many karaoke songs fit a session by time/singers,karaoke songs per session by singers | how long is a karaoke set,"Confirmed no calculator exists — only forums. 'karaoke songs with lyrics' target is total mismatch. Solid modest demand, wide-open SERP"
1,WINNABLE,familia,baby-shower-budget-calculator,baby shower budget calculator cost per guest,Estimate baby shower total cost and per-guest budget,how much does a baby shower cost calculator | baby shower cost breakdown by guests,"'baby shower games' is a mismatch; the budget/cost intent (12k vol) is a non-YMYL event-planning gap with weak SERP (blogs/thebump), high opportunity"
1,WINNABLE,finanzas,criminal-background-certificate-cost,fbi criminal background check cost 2026,Comparar costos y tiempos de background checks en EEUU (FBI/estatal/empleo),cost of state vs fbi background check for employment | how much does an fbi identity history summary cost,"SERP verificada: NO agregadores DR90, sino blogs de proveedores (certifix, mrfingerprints) y FAQs. Contenido de costos+tiempos con datos 2026 concretos ($18 FBI, canaleros) es ganable. Alta oportunidad. currentTarget 'cr"
1,WINNABLE,finanzas,salary-calculator-argentina,argentina net salary calculator gross to net 2026,Sueldo neto en Argentina de bruto a neto con impuestos 2026,calculate net pay argentina income tax | argentina take home pay calculator,"AR-especifico en EN (expats/nomads), cero agregadores US; alta relevancia geo-entidad del dominio"
1,WINNABLE,finanzas,severance-calculator-argentina,argentina severance pay calculator art 245 lct,Indemnización por despido sin causa en Argentina (Art. 245 LCT),dismissal without cause compensation argentina | calculate severance argentina labor law,"AR-legal muy especifico, sin competencia US; dominio con entidad AR encaja perfecto"
1,WINNABLE,finanzas,us-b1-b2-tourist-visa-cost,total cost of us b1 b2 tourist visa,Costo total de la visa de turista B1/B2 (MRV + fotos + traducciones),us tourist visa cost breakdown mrv fee | b1 b2 visa total cost calculator,Angulo cost-breakdown especifico; travel.state.gov da la fee pero no un calc de costo total; demanda alta y gap real
1,WINNABLE,jardineria,ph-soil-correction-lime-sulfur,how much lime or sulfur to change soil ph calculator,Cuánta cal o azufre agregar para corregir el pH del suelo,soil ph correction lime amount per m2 | elemental sulfur to lower soil ph calculator,"Intent específico (cantidad de cal/azufre por área). SERP = extensiones universitarias y blogs de jardín, sin agregador calc dominante. El k actual 'soil ph tester' es intent de compra de producto, mismatch total."
1,WINNABLE,mascotas,dog-food-calculator-by-weight,how much to feed a dog per day calculator by weight,Cuántos gramos de comida seca darle al perro por día,how many grams of dry dog food per day | dog food portion calculator by weight and age,"Volumen alto (19822) via k espurio 'chewy dog food' (navegacional marca, mismatch), pero la calc real ('how much to feed a dog') es un intent con demanda genuina y SERP de vet-blogs/marcas, no calculator.net. Joya del lo"
1,WINNABLE,mascotas,guinea-pig-vitamin-c-daily-dosage,guinea pig vitamin c dosage calculator mg per day,Cuántos mg de vitamina C por día necesita un cuy según peso,how much vitamin c does my guinea pig need by weight | guinea pig vitamin c mg by weight chart,"SERP = contenido veterinario (Merck, PetMD, blogs) SIN ningún calculador competidor. Gap perfecto: nadie ofrece la dosis calculada por peso interactiva. El k 'hairless guinea pig' es mismatch. Joya de nicho."
1,WINNABLE,medio-ambiente,annual-pet-carbon-footprint,pet carbon footprint calculator dog cat,Cuánto CO2 emite un perro o gato por año,how much co2 does my dog produce per year | cat carbon footprint per year,"Nicho mascotas + medio ambiente, muy específico, sin agregadores DR80 defendiendo. Demanda modesta pero real y calc responde exacto."
1,WINNABLE,medio-ambiente,material-biodegradation-time,how long does plastic take to biodegrade chart,"Cuánto tarda en biodegradarse plástico, vidrio, pañal, etc.",biodegradation time by material | how long to decompose glass diaper plastic,"Tabla de referencia buscadísima, servida por blogs sueltos y no por agregadores calc. Rich-snippet/tabla ganable."
1,WINNABLE,salud,bmi-seniors-65-plus-table,bmi calculator for seniors 65 plus geriatric range,BMI con rangos geriátricos para adultos 65+ (ESPEN 22-27),healthy bmi for elderly over 65 | senior bmi chart espen 22-27,El giro 'seniors 65+' con rangos geriátricos ESPEN es específico y NO lo cubre el widget de BMI genérico ni los grandes. Gap real dentro de un nicho saturado.
1,WINNABLE,salud,breast-milk-formula,how much formula does my baby need by age and weight calculator,Cuántos ml de leche/fórmula necesita el bebé por toma según edad y peso,baby formula amount per feeding calculator ml | breast milk ml per feeding by weight,"'sucking breast milk' (k) es nonsense/adulto. La calc 'ml por toma por peso' es un gap: los grandes dan tabla, no calc personalizada por peso. Ganable."
1,WINNABLE,salud,breast-pump-production,how much breast milk should I pump calculator by age,Cuánta leche debería extraer con sacaleches según edad/sesiones,breast pump output calculator per session | normal pumping output chart by baby age,"'spectra breast pump' (k) es query de producto/brand. Confirmé SERP: Healthline/Medela dan artículos-chart, no calc interactiva por edad+sesiones. Gap claro."
1,WINNABLE,salud,calories-burned-household-chores,calories burned doing household chores calculator,Cuántas calorías quemo limpiando/haciendo tareas del hogar por peso y tiempo,calories burned cleaning by weight | calories burned vacuuming mopping MET table,"SERP mezcla tool-sites de baja autoridad (tooliro, captaincalculator, fithealthregimen) — no está bloqueada por DR80. Vol real ~1082, MET table = info-gain. 'calories burned calculator' actual es head nonsense."
1,WINNABLE,salud,daily-caffeine-safe-maximum-cups,daily caffeine intake calculator by drink,Sumar cafeína de café/té/energéticas vs límite 400 mg/día,how many cups of coffee is 400 mg | add up caffeine from coffee tea energy drinks,'daily caffeine limit' (v1116) con la mecánica de sumar bebidas es un calculador real y específico. Ángulo 'cuántas tazas hoy' escapa al artículo genérico. Consolidar con 504 (evitar dup).
1,WINNABLE,salud,electrolyte-replacement-exercise,electrolyte replacement calculator for exercise,Cuánto sodio/potasio/fluido reponer por hora de ejercicio,sodium replacement per hour of exercise | how much electrolytes to replace when sweating,"'vanderbilt electrolyte replacement' (v4573) es query real de un protocolo, pero aplicada a ejercicio/atletas hay gap de herramienta (mg/hora por peso). k parcialmente correcto pero re-enfocar a exercise. Buen volumen."
1,WINNABLE,salud,fodmap-foods-intolerance-chart,low fodmap foods list chart,Buscar el nivel FODMAP y porción segura de un alimento (IBS),fodmap level of foods lookup | low fodmap safe serving size ibs,"'low fodmap foods' (v1565) — Monash tiene app paga; hay gap de lookup web gratuito por alimento con porción segura. Nicho IBS específico, info-gain real. De los mejores del lote."
1,WINNABLE,salud,irregular-fertile-window,fertile window calculator for irregular periods,Estimar días fértiles cuando el ciclo es irregular,ovulation with irregular cycles calculator | fertile days irregular period calculator,"El head 'ovulation calculator' es HOPELESS, pero 'irregular periods' es el modificador que las apps/mayoclinic cubren pobre; gap real con demanda decente."
1,WINNABLE,salud,pilates-reformer-frequency-weekly,how often should you do reformer pilates per week,Cuántas veces por semana hacer pilates reformer según objetivo,reformer pilates frequency by goal | how many times a week reformer pilates,"SERP verificada: sólo blogs de estudios boutique, cero agregador DR80. 'reformer pilates' (k actual) es head navegacional; el intent frecuencia/semana es un gap claro. Ganable, prioridad alta."
1,WINNABLE,salud,vitamin-b12-dosage-vegan-monthly,how much b12 should a vegan take daily or weekly,Saber qué dosis de B12 tomar como vegano según frecuencia (diario/semanal),vegan b12 dosage by frequency | b12 mcg per day vs weekly vegan,"Query específico de dosis vegana por frecuencia; SERP con blogs de nicho, no monopolio DR80+. El 'k' actual ('b12 vitamin') es head genérico irrelevante."
1,WINNABLE,salud,vo2-max-cooper-12min-calculator,cooper 12 minute run test vo2 max calculator,Calcular VO2 max a partir del test de Cooper de 12 minutos + normas,cooper test vo2 max chart by age | 12 minute run distance to vo2 max,"Test de Cooper es un protocolo específico con demanda real y SERP de sitios de fitness/nicho, no aggregators genéricos. 'k' actual ('what is vo2 max') es informacional head."
1,WINNABLE,salud,weekly-hypertrophy-volume,how many sets per week for muscle growth by muscle group,Cuántas series semanales por grupo muscular para maximizar hipertrofia,weekly training volume for hypertrophy calculator | optimal sets per muscle per week,"Query específico de programación de volumen (Schoenfeld), SERP de blogs de fuerza, no aggregators. Sin keyword actual; oportunidad limpia."
1,WINNABLE,salud,zinc-daily-requirement,how much zinc per day by sex and diet,RDA diario de zinc según sexo y tipo de dieta,zinc rda for vegetarians | daily zinc requirement calculator mg,"Dosis de micronutriente específica (sexo/dieta) con SERP de nicho; el 'k' actual ('how much zinc to take daily') ya es un buen long-tail, solo hay que precisar por sexo/dieta."
1,WINNABLE,tecnologia,3d-print-cost-per-part,3d printing cost calculator per part,Calcular el costo de imprimir en 3D una pieza (filamento + tiempo),how much does it cost to 3d print a part | 3d print price calculator filament and time,"Intent de maker específico, SERP de sitios de impresión 3D y calculadoras de nicho, no aggregators genéricos. 'k' actual ('3d print files') es un mismatch (búsqueda de STLs, no costo)."
1,WINNABLE,tecnologia,openai-api-monthly-cost-estimator,openai api cost calculator monthly,"Estimar el gasto mensual de la API de OpenAI segun modelo, tokens y volumen",gpt-4o api cost per month estimator | openai api pricing calculator tokens,'openai api key' es navegacional/nonsense; el calc estima costos. SERP de 'openai api cost calculator' tiene demanda real y no la dominan los agregadores clasicos (calculator.net no cubre pricing de LLM). Nicho tech-espe
1,WINNABLE,tecnologia,password-cracking-time-length,how long to brute force a password by length,Estimar cuanto tarda un ataque de fuerza bruta segun largo y complejidad de la clave,password cracking time estimator | time to crack password chart,"'c error in password cracking' es nonsense. Intent especifico de ciberseguridad, alto interes evergreen, la SERP la lideran hive-systems/security.org (mid DR) no agregadores DR80 de calculo. Ganable con angulo 'by length"
1,WINNABLE,tecnologia,ttl-dns-registro-cache-propagacion,dns ttl propagation time calculator,Estimar cuanto tarda en propagar un cambio DNS segun el TTL configurado,how long until dns change propagates | safe dns ttl value calculator,"'dns ttl' (127) es cabeza corta ambigua; el long-tail 'propagation time' tiene intent claro y SERP de tools de nicho (dnschecker, whatsmydns) sin agregador de calculo dominante. Ganable."
1,WINNABLE,viajes,hotel-split-cost-calculator,how to split a hotel bill between friends,"Dividir el costo de una habitacion de hotel entre amigos, parejo o por noches",split hotel room cost calculator | divide hotel cost by nights stayed,'cornaro hotel split' es marca/nonsense. Intent social-especifico sin calculadora dedicada dominante; los agregadores no cubren 'split hotel bill'. Gap claro.
1,WINNABLE,vida,alcohol-per-guest-event-calculator,how much alcohol per guest for a party calculator,"Calcular cuanto alcohol (vino, cerveza, licor) comprar por invitado en un evento",wedding alcohol calculator per guest | how much wine and beer for a party,Nicho de eventos muy especifico; SERP con The Knot/blogs de bodas (guias) sin calculadora dominante. Demanda estacional fuerte (bodas). k vacio.
2,WINNABLE,automotor,annual-car-co2-emissions,annual car co2 emissions calculator from fuel consumption,Estimate a car's yearly CO2 output from its fuel consumption,how much co2 does my car emit per year | car co2 emissions calculator by mpg,"Specific multi-word intent; the SERP is a mix of eco content pages and a few niche tools, not aggregator-dominated. Modest but real demand around emissions."
2,WINNABLE,automotor,drive-time-calculator-stops,drive time calculator with rest stops and breaks,Compute real drive time including rest breaks and stops,travel time calculator including stops | road trip time calculator with breaks,'with stops/breaks' differentiates from Google Maps ETA and generic distance tools. Specific trip-planning intent with modest demand and no aggregator dominance for this exact framing.
2,WINNABLE,automotor,electric-car-savings-vs-gas-annual,ev vs gas cost savings calculator per year,Compare annual EV vs gas fuel/TCO costs and savings,electric car vs gas annual fuel savings | how much do you save with an ev vs gas,Comparison intent with real demand; SERP has some content sites but the year-savings calculator angle is winnable. Current 'ferrari electric car' target is a total brand/nonsense mismatch.
2,WINNABLE,automotor,fuel-tank-range-calculator,how far can i drive on a full tank calculator,Calculate how far you can drive on a full tank,fuel tank range calculator by tank size and mpg | full tank driving range estimator,"Specific practical intent, no aggregator lock; niche/blog competition. Current 'fuel transfer tank' target is a product-shopping mismatch."
2,WINNABLE,automotor,gnc-vs-gasoline-annual-savings,cng vs gasoline fuel cost savings calculator,Compare annual fuel cost of CNG vs gasoline,how much do you save with cng vs petrol | natural gas vehicle vs gasoline annual savings,"Comparison + savings intent, niche audience, no DR80 dominance. Note: EN title uses 'GNC' (Spanish) — must be 'CNG' in EN to match how English speakers search."
2,WINNABLE,automotor,timing-belt-change-interval-km,timing belt replacement interval by make km,Find when to replace the timing belt based on make/mileage,when to change timing belt km | timing belt change mileage by car brand,"Interval-by-make is a specific maintenance query with modest demand, no aggregator lock. Current 'timing belt replacement cost' is a different (cost) intent — mismatch."
2,WINNABLE,ciencia,daltons-law-partial-pressure,dalton's law partial pressure calculator mole fraction,Compute the partial pressure of a gas in a mixture via mole fraction,partial pressure of a gas in a mixture calculator | dalton's law calculator total pressure,"Specific chemistry law query, education-niche demand, and the SERP mixes definitions with only a few tools — winnable. Current target is a definition query (informational), calc is transactional."
2,WINNABLE,ciencia,eficiencia-carnot-termodinamica,carnot efficiency calculator heat engine,Compute the max theoretical efficiency of a heat engine between two reservoirs,maximum theoretical efficiency of a heat engine calculator | carnot cycle efficiency from hot and cold temperature,"Specific thermodynamics query, engineering/student niche, low aggregator lock. Note slug is Spanish but EN content is correct; keyword must be pure English."
2,WINNABLE,ciencia,entropia-cambio-fase,entropy change calculator phase transition,Calculate entropy change (ΔS=Q/T) during a phase transition,entropy change delta s = q/t calculator | entropy change at constant temperature calculator,Narrow chemistry/physics intent with real student demand and thin dedicated-tool competition. Good gap for a formula calc with worked examples.
2,WINNABLE,ciencia,free-fall-distance,free fall distance calculator h = ½gt²,Calculate how far an object falls under gravity by time,how far does an object fall in t seconds | free fall distance from time calculator,"Specific formula intent; while omni has a free-fall tool, the distance-by-time framing plus impact speed and a table can win the long-tail. Real education demand."
2,WINNABLE,ciencia,free-fall-velocity-by-time,free fall velocity calculator by time,Calculate the velocity of a falling object after t seconds,velocity of a falling object after t seconds | free fall speed v = gt calculator,"Narrow physics intent, modest demand, winnable via the by-time angle. Current 'next time i fall in love' is an absurd song-lyric nonsense mismatch."
2,WINNABLE,ciencia,hydrostatic-pressure-depth,water pressure at depth calculator,Calculate water/fluid pressure at a given depth,hydrostatic pressure calculator P = ρgh | fluid pressure at depth in bar calculator,"'water pressure at depth' is a specific practical query (divers, engineers) with modest demand and less aggregator saturation than pure physics head terms. Current 'what is hydrostatic pressure' is informational."
2,WINNABLE,ciencia,kinematic-equations-constant-acceleration,kinematic equations calculator suvat,"Solve SUVAT constant-acceleration equations for v, d, a or t",suvat calculator final velocity and displacement | constant acceleration equations solver,'SUVAT' is a specific term (UK/AU physics curriculum) with dedicated demand and thin tool competition. Multi-variable solver is a real gap. Current target is generic informational.
2,WINNABLE,ciencia,mechanical-work-force-distance,mechanical work calculator W = F·d·cos(θ),Calculate work done by a force over a distance at an angle,work done by a force at an angle calculator | calculate work force times distance cos theta,The cos(θ) angle-specific framing is more specific than the generic 'work calculator' and less saturated; genuine physics-student demand. Good gap.
2,WINNABLE,ciencia,moles-masa-formula-molecular,grams to moles calculator n = m / MW,Convert grams to moles using mass and molecular weight,convert grams to moles by molecular weight | moles from mass and molar mass calculator,"'grams to moles' is a specific, high-intent chemistry conversion with steady student demand; the SERP has room beyond the big aggregators for a clean tool + table. Current 'moles formula' is vaguer/informational."
2,WINNABLE,ciencia,momento-angular-rotacion,angular momentum calculator L = Iω,Calculate angular momentum from moment of inertia and angular velocity,angular momentum from moment of inertia and angular velocity | calculate angular momentum rotation calculator,"Specific rotational-dynamics query, niche student demand, low aggregator saturation for this exact framing. Slug is Spanish but EN content correct."
2,WINNABLE,ciencia,orbital-period-planet,orbital period calculator kepler's third law,Calculate orbital period via Kepler's Third Law,orbital period from semi-major axis calculator | kepler third law T² = 4π²a³/GM calculator,"Astronomy-niche formula query with modest, steady demand and thin tool competition. Current 'mars orbital period' is a single-fact informational answer (Google snippet), not the calc's variable-input intent."
2,WINNABLE,ciencia,oxidation-number-element,oxidation number calculator for an element in a compound,Find the oxidation number/state of an element in a compound,find oxidation state of an element calculator | solve for unknown oxidation number calculator,"Specific chemistry task with real student demand; mostly served by tutorial content, leaving a tool gap. Current 'how to find oxidation number' is informational — the calc answers it interactively."
2,WINNABLE,ciencia,photon-energy-frequency-wavelength,photon energy calculator from frequency and wavelength,"Calculate photon energy from frequency or wavelength (E=hν, hc/λ)",photon energy E = hν and hc/λ calculator | calculate photon energy in eV from wavelength,"Specific physics/chemistry query with dual-input (frequency and wavelength) and eV output — more specific than generic energy tools, real student demand. Current 'energy of a photon' is close but broader/informational."
2,WINNABLE,ciencia,poh-hydroxide-concentration,pOH calculator from hydroxide concentration,Estudiante de química quiere calcular pOH a partir de la concentración de iones hidroxilo,calculate pOH from [OH-] | pOH to pH calculator,"Intent muy específico (pOH desde [OH-]), demanda modesta de estudiantes de química. La SERP genérica de 'pH calculator' la domina calculator.net, pero el ángulo pOH-desde-hidroxilo es un nicho educativo con gap."
2,WINNABLE,ciencia,radiative-forcing-co2-ppm,CO2 radiative forcing calculator W/m2,Calcular el forzamiento radiativo del CO2 en W/m2 según concentración vs baseline,radiative forcing from CO2 ppm | atmospheric CO2 forcing formula calculator,"Nicho climatológico técnico muy específico, casi sin herramientas dedicadas. Demanda modesta pero real (estudiantes/investigadores clima). Cero agregadores DR80 compitiendo."
2,WINNABLE,ciencia,simple-pendulum-period,simple pendulum period calculator T=2pi sqrt(L/g),Calcular el período y frecuencia de un péndulo simple según longitud y gravedad,pendulum period from length calculator | pendulum frequency calculator,"Física educativa específica. 'Pendulum calculator' lo tiene omnicalculator, pero el ángulo fórmula T=2π√(L/g) con tabla tiene gap para intent escolar concreto."
2,WINNABLE,ciencia,snells-law-refraction,snells law refraction angle calculator,Calcular el ángulo de refracción usando la ley de Snell con índices y ángulo de incidencia,calculate refraction angle n1 sin theta1 | refractive index angle calculator,Óptica educativa específica. 'law of refraction' es informacional; el ganable es el calculador del ángulo de refracción. Gap real vs omnicalc.
2,WINNABLE,ciencia,thin-lens-equation-calculator,thin lens equation calculator 1/f=1/s+1/s',"Resolver la ecuación de lente delgada para f, s o s' dados dos valores",solve for focal length lens calculator | object image distance lens calculator,Óptica educativa específica; resolver 1/f=1/s+1/s' para cualquier variable es intent claro con gap modesto. Compite con omnicalc pero el multi-solve es diferenciador.
