URL,Slug,Titulo,H1,Categoria,Template,Keyword aparente,Intencion,Canonical,Indexable,En sitemap,Enlaces internos,Familia tematica,Posible duplicado,Accion recomendada,Prioridad
/calculadora-conversion-medidas-cocina-tazas-gramos,calculadora-conversion-medidas-cocina-tazas-gramos,Tazas a Gramos: tabla de conversión por ingrediente | Hacé Cuentas,Convertir tazas a gramos (y viceversa) por ingrediente,cocina,CalcLayoutV2 ([...slug].astro),tazas a gramos,Conversión / cantidad de receta,(self),Sí,Sí,9,cocina,tazas-gramos,"Cluster ""tazas-gramos"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-huevos-por-receta-comensales,calculadora-huevos-por-receta-comensales,Huevos por Receta y Comensales — Calculadora 2026,Calculadora de Huevos y Ingredientes por Receta y Comensales,cocina,CalcLayoutV2 ([...slug].astro),cuantos huevos tortilla espanola,Conversión / cantidad de receta,(self),Sí,Sí,8,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-cafe-ratio-agua-gramos-metodo-preparacion,calculadora-cafe-ratio-agua-gramos-metodo-preparacion,Proporción Café/Agua por Método de Preparación,Calculadora de proporción café/agua según método de preparación,cocina,CalcLayoutV2 ([...slug].astro),proporción café agua,Conversión / cantidad de receta,(self),Sí,Sí,7,cocina,cafe-ratio,"Cluster ""cafe-ratio"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-conversion-cucharaditas-gramos-especias-sal,calculadora-conversion-cucharaditas-gramos-especias-sal,"Cucharaditas a gramos: tabla de especias, sal y azúcar | Hacé Cuentas","Convertir cucharaditas a gramos: sal, azúcar, harina y especias",cocina,CalcLayoutV2 ([...slug].astro),cucharaditas a gramos,Conversión / cantidad de receta,(self),Sí,Sí,7,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-conversion-peso-volumen-ingredientes-cocina,calculadora-conversion-peso-volumen-ingredientes-cocina,Peso a Volumen: Ingredientes de Cocina | Hacé Cuentas,Conversión de peso a volumen para ingredientes de cocina,cocina,CalcLayoutV2 ([...slug].astro),conversion gramos tazas cocina,Conversión / cantidad de receta,(self),Sí,Sí,7,cocina,tazas-gramos,"Cluster ""tazas-gramos"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-equivalencia-huevos-tamano-gramos-claras,calculadora-equivalencia-huevos-tamano-gramos-claras,"Calculadora Huevos Tamaño a Gramos 2026 — Clara, Yema y Entero",Huevos tamaño gramos,cocina,CalcLayoutV2 ([...slug].astro),equivalencia huevos tamano gramos claras,Conversión / cantidad de receta,(self),Sí,Sí,7,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-sustitucion-ingredientes-cocina,calculadora-sustitucion-ingredientes-cocina,Calculadora de sustitución de ingredientes 2026,Calculadora de sustitución de ingredientes,cocina,CalcLayoutV2 ([...slug].astro),sustitucion ingredientes cocina,Conversión / cantidad de receta,(self),Sí,Sí,7,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-cafe-molido-taza-metodo-preparacion,calculadora-cafe-molido-taza-metodo-preparacion,Gramos de café por taza según el método: calculadora + tabla | Hacé Cuentas,¿Cuántos gramos de café por taza? Calculadora por método,cocina,CalcLayoutV2 ([...slug].astro),gramos de café por taza,Conversión / cantidad de receta,(self),Sí,Sí,6,cocina,cafe-ratio,"Cluster ""cafe-ratio"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-cafe-french-press-ratio,calculadora-cafe-french-press-ratio,French Press: ratio café-agua + tabla de cantidades | Hacé Cuentas,Calculadora French Press: gramos de café y agua según ratio,cocina,CalcLayoutV2 ([...slug].astro),french press ratio,Conversión / cantidad de receta,(self),Sí,Sí,6,cocina,cafe-ratio,"Cluster ""cafe-ratio"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-proporcion-cafe-agua-metodo-preparacion,calculadora-proporcion-cafe-agua-metodo-preparacion,Calculadora de proporción de café y agua 2026 | Hacé Cuentas,Calculadora de proporción de café y agua,cocina,CalcLayoutV2 ([...slug].astro),calculadora proporcion cafe,Conversión / cantidad de receta,(self),Sí,Sí,6,cocina,cafe-ratio,"Cluster ""cafe-ratio"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-daiquiri-clasico-personas,calculadora-daiquiri-clasico-personas,Daiquiri para varios: ingredientes exactos por persona + tabla | Hacé Cuentas,Calculadora de Daiquiri Clásico: ingredientes para N personas,cocina,CalcLayoutV2 ([...slug].astro),daiquiri receta para muchas personas,Conversión / cantidad de receta,(self),Sí,Sí,5,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-tiempo-fermentacion-masa-temperatura,calculadora-tiempo-fermentacion-masa-temperatura,Tiempo de fermentación de masa según temperatura: calculadora + tabla | Hacé Cuentas,Calculadora de tiempo de fermentación de masa según temperatura,cocina,CalcLayoutV2 ([...slug].astro),tiempo fermentacion masa temperatura,Conversión / cantidad de receta,(self),Sí,Sí,4,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-porcion-arroz-gramos-personas,calculadora-porcion-arroz-gramos-personas,Cuánto arroz por persona: gramos según comensales,Cuánto arroz por persona (gramos según comensales),cocina,CalcLayoutV2 ([...slug].astro),arroz por persona gramos,Conversión / cantidad de receta,(self),Sí,Sí,4,cocina,arroz-porcion,"Cluster ""arroz-porcion"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-porciones-arroz-por-persona-guarnicion,calculadora-porciones-arroz-por-persona-guarnicion,Arroz por persona guarnición: calculadora + tabla | Hacé Cuentas,¿Cuántos gramos de arroz por persona para guarnición?,cocina,CalcLayoutV2 ([...slug].astro),arroz por persona guarnicion gramos,Conversión / cantidad de receta,(self),Sí,Sí,4,cocina,arroz-porcion,"Cluster ""arroz-porcion"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-porciones-pasta-seca-persona-hambre,calculadora-porciones-pasta-seca-persona-hambre,Gramos de pasta seca por persona: calculadora + tabla | Hacé Cuentas,¿Cuántos gramos de pasta seca por persona?,cocina,CalcLayoutV2 ([...slug].astro),gramos de pasta seca por persona,Conversión / cantidad de receta,(self),Sí,Sí,4,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-porciones-sushi-por-persona-promedio,calculadora-porciones-sushi-por-persona-promedio,Calculadora Sushi por persona 2026 — Porciones y rolls | Hacé Cuentas,Sushi por persona,cocina,CalcLayoutV2 ([...slug].astro),sushi por persona,Conversión / cantidad de receta,(self),Sí,Sí,4,cocina,sushi-porcion,"Cluster ""sushi-porcion"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-arroz-agua-proporcion-coccion,calculadora-arroz-agua-proporcion-coccion,Proporción Arroz-Agua y Tiempo de Cocción 2026,"Proporción de arroz, agua y tiempo de cocción por tipo",cocina,CalcLayoutV2 ([...slug].astro),cuanta agua por taza de arroz,Conversión / cantidad de receta,(self),Sí,Sí,2,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-hidromiel-proporciones-miel-agua,calculadora-hidromiel-proporciones-miel-agua,Proporciones de Miel y Agua para Hidromiel 2026 | Hacé Cuentas,Proporciones de miel y agua para hidromiel casero,cocina,CalcLayoutV2 ([...slug].astro),hidromiel casero,Conversión / cantidad de receta,(self),Sí,Sí,2,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-whisky-sour-proporciones,calculadora-whisky-sour-proporciones,Receta Whisky Sour para Varios: Cantidades por Persona 2026 | Hacé Cuentas,Whisky Sour para varios: calculá cantidades por persona,cocina,CalcLayoutV2 ([...slug].astro),Whisky Sour receta,Conversión / cantidad de receta,(self),Sí,Sí,2,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-sustituto-huevo-vegano-receta,calculadora-sustituto-huevo-vegano-receta,Reemplazar Huevo en Recetas Veganas: calculadora + tabla | Hacé Cuentas,¿Cómo reemplazar huevo en una receta vegana? Calculadora + tabla,cocina,CalcLayoutV2 ([...slug].astro),reemplazar huevo receta vegana,Conversión / cantidad de receta,(self),Sí,Sí,1,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/conversor-tazas-gramos-cocina-recetas,conversor-tazas-gramos-cocina-recetas,Tazas a Gramos y Gramos a Tazas | Conversor de Cocina,Conversor de tazas a gramos y gramos a tazas,cocina,CalcLayoutV2 ([...slug].astro),conversor tazas a gramos,Conversión / cantidad de receta,/calculadora-conversion-medidas-cocina-tazas-gramos,Sí,No,1,cocina,tazas-gramos,Ya canonicalizada → calculadora-conversion-medidas-cocina-tazas-gramos (mantener),Baja
/calculadora-agua-pasta-litros-gramos,calculadora-agua-pasta-litros-gramos,Calculadora de agua para cocinar pasta 2026 | Hacé Cuentas,Calculadora de agua para cocinar pasta,cocina,CalcLayoutV2 ([...slug].astro),agua para pasta,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-kefir-leche-proporciones,calculadora-kefir-leche-proporciones,Calculadora Kefir Leche Proporciones 2026 | Hacé Cuentas,Proporciones de grano de kefir y leche para fermentación,cocina,CalcLayoutV2 ([...slug].astro),kefir leche receta,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-calorias-aproximadas-receta-plato,calculadora-calorias-aproximadas-receta-plato,Calculadora de calorías aproximadas de un plato 2026,Calculadora de calorías aproximadas de un plato,cocina,CalcLayoutV2 ([...slug].astro),calculadora calorias receta,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-conversion-cups-gramos-harina-azucar-aceite,calculadora-conversion-cups-gramos-harina-azucar-aceite,Calculadora Cups a gramos harina/azúcar/aceite 2026,Cups a gramos harina/azúcar/aceite,cocina,CalcLayoutV2 ([...slug].astro),cups a gramos harina/azúcar/aceite,Conversión / cantidad de receta,/calculadora-conversion-medidas-cocina-tazas-gramos,Sí,No,0,cocina,tazas-gramos,Ya canonicalizada → calculadora-conversion-medidas-cocina-tazas-gramos (mantener),Baja
/calculadora-costo-receta-precio-por-porcion,calculadora-costo-receta-precio-por-porcion,Calculadora de costo de receta por porción 2026,Calculadora de costo de receta por porción,cocina,CalcLayoutV2 ([...slug].astro),costo receta por porcion,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-kilos-chocolate-casero-bombones-receta,calculadora-kilos-chocolate-casero-bombones-receta,Calculadora de chocolate para bombones + tabla de moldes | Hacé Cuentas,Calculadora de chocolate para bombones caseros,cocina,CalcLayoutV2 ([...slug].astro),cuanto chocolate necesito para bombones,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-temperatura-interna-carne-punto-coccion,calculadora-temperatura-interna-carne-punto-coccion,Temperatura interna de la carne: punto de cocción 2026 | Hacé Cuentas,Temperatura interna de la carne según punto de cocción,cocina,CalcLayoutV2 ([...slug].astro),temperatura interna carne,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-tiempo-coccion-legumbres-remojo,calculadora-tiempo-coccion-legumbres-remojo,Calculadora de tiempo de cocción y remojo de legumbres,Calculadora de tiempo de cocción y remojo de legumbres,cocina,CalcLayoutV2 ([...slug].astro),tiempo coccion legumbres,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-tiempo-temperatura-coccion-carne,calculadora-tiempo-temperatura-coccion-carne,Tiempo de cocción por peso y punto 2026 — Gratis,Tiempo de cocción por peso y punto,cocina,CalcLayoutV2 ([...slug].astro),tiempo coccion carne al horno,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-tiempos-coccion-verduras-al-vapor-hervido,calculadora-tiempos-coccion-verduras-al-vapor-hervido,Tiempos de cocción de verduras al vapor y hervidas: tabla + calculadora | Hacé Cuentas,Tiempos de cocción de verduras al vapor y hervidas,cocina,CalcLayoutV2 ([...slug].astro),tiempos cocción verduras al vapor,Conversión / cantidad de receta,(self),Sí,Sí,0,cocina,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-ritmo-caminata-pasos-por-km,calculadora-ritmo-caminata-pasos-por-km,Calculadora de Ritmo de Caminata y Pasos por Km 2026,Calculadora de Ritmo de Caminata y Pasos por Km,deportes,CalcLayoutV2 ([...slug].astro),calculadora pasos por km,Actividad al aire libre,(self),Sí,Sí,0,deporte-aire-libre,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-puzzle-1000-piezas-tiempo-promedio-dificultad,calculadora-puzzle-1000-piezas-tiempo-promedio-dificultad,Puzzle 1000 piezas: ¿cuánto tiempo tarda? + tabla por dificultad | Hacé Cuentas,¿Cuánto tiempo tarda un puzzle de 1000 piezas?,entretenimiento,CalcLayoutV2 ([...slug].astro),puzzle 1000 piezas tiempo,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,8,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-anime-tiempo-bingear-temporadas-episodios-horas,calculadora-anime-tiempo-bingear-temporadas-episodios-horas,Calculadora Anime 2026: ¿Cuánto Tarda? Gratis Online,¿Cuántas horas necesitás para terminar un anime?,entretenimiento,CalcLayoutV2 ([...slug].astro),anime tiempo bingear temporadas,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,serie-maraton,"Cluster ""serie-maraton"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-horas-peliculas-serie-inmersion-idioma,calculadora-horas-peliculas-serie-inmersion-idioma,¿Cuántas horas de series equivalen a estudiar un idioma? 2026 | Hacé Cuentas,¿Cuántas horas de series equivalen a estudiar un idioma?,idiomas,CalcLayoutV2 ([...slug].astro),horas de series/películas/mes,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,serie-maraton,"Cluster ""serie-maraton"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-karaoke-canciones-por-hora,calculadora-karaoke-canciones-por-hora,Calculadora de Canciones de Karaoke por Hora 2026,Calculadora de Canciones de Karaoke por Hora,entretenimiento,CalcLayoutV2 ([...slug].astro),canciones karaoke hora,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-lectura-velocidad-paginas-hora-wpm,calculadora-lectura-velocidad-paginas-hora-wpm,Calcular velocidad de lectura en WPM: calculadora + tabla | Hacé Cuentas,Calculadora de velocidad de lectura (WPM),educacion,CalcLayoutV2 ([...slug].astro),calcular velocidad de lectura,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-maraton-serie-tiempo,calculadora-maraton-serie-tiempo,Calculadora de Maratón de Serie 2026 — Tiempo para Ver,Calculadora de Maratón de Serie — Tiempo para Ver Todo,entretenimiento,CalcLayoutV2 ([...slug].astro),cuanto dura ver serie completa,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,serie-maraton,"Cluster ""serie-maraton"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-playlist-duracion-canciones,calculadora-playlist-duracion-canciones,Cuánto Dura tu Playlist — Calculadora por Canciones,Calculadora de Duración de Playlist: cuánto dura tu lista de reproducción,entretenimiento,CalcLayoutV2 ([...slug].astro),cuanto dura una playlist,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-tiempo-completar-juego-horas,calculadora-tiempo-completar-juego-horas,¿Cuánto tarda completar un juego? Calculadora + tabla | Hacé Cuentas,¿Cuánto tardás en completar un juego? Calculadora según tu ritmo,entretenimiento,CalcLayoutV2 ([...slug].astro),cuánto tarda completar un juego,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,7,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-audible-ingreso-audiolibro,calculadora-audible-ingreso-audiolibro,Royalties Audible ACX 2026: Calculadora de Ganancias | Hacé Cuentas,¿Cuánto ganás con tu audiolibro en Audible? Calculá tus royalties ACX,marketing,CalcLayoutV2 ([...slug].astro),cuanto paga audible,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,4,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-mundial-2026-costo-entrada-fase,calculadora-mundial-2026-costo-entrada-fase,Mundial 2026 Costo Entrada por Fase — Online,Mundial 2026 — Precio oficial de entradas por fase del torneo,deportes,CalcLayoutV2 ([...slug].astro),precio entradas mundial 2026,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,3,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-plan-maraton-semanas-experiencia,calculadora-plan-maraton-semanas-experiencia,Plan de maratón: semanas según experiencia y meta 2026,Plan de maratón: semanas según experiencia y meta,deportes,CalcLayoutV2 ([...slug].astro),plan maraton,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,3,entretenimiento,maraton-plan,"Cluster ""maraton-plan"" — enlazar a la maestra, evaluar canonical",Alta
/calculadora-hidrometro-correccion-temperatura,calculadora-hidrometro-correccion-temperatura,Calculadora Corrección Hidrómetro Temperatura 2026,Corrección de lectura del hidrómetro por temperatura,cocina,CalcLayoutV2 ([...slug].astro),hidrometro correccion temperatura,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,2,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-ping-latencia-gaming-aceptable,calculadora-ping-latencia-gaming-aceptable,¿Es buen ping para gaming? Calculadora por tipo de juego | Hacé Cuentas,¿Es buen ping para gaming? Calculadora de latencia por tipo de juego,tecnologia,CalcLayoutV2 ([...slug].astro),ping aceptable gaming,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,2,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-modelismo-pintura-figuras-tiempo-warhammer-citadel,calculadora-modelismo-pintura-figuras-tiempo-warhammer-citadel,¿Cuánto tarda pintar miniaturas Warhammer? Calculadora + tabla | Hacé Cuentas,Calculadora de tiempo para pintar miniaturas Warhammer y modelismo,entretenimiento,CalcLayoutV2 ([...slug].astro),cuánto tarda pintar miniaturas warhammer,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,1,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-engagement-rate-instagram,calculadora-engagement-rate-instagram,Medir Engagement Instagram Online — Calculadora 2026,Medir Engagement de Instagram Online (Calculadora),entretenimiento,CalcLayoutV2 ([...slug].astro),engagement rate instagram formula,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,1,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-fps-ideal-monitor-hz,calculadora-fps-ideal-monitor-hz,FPS ideal según Hz del monitor: calculadora + tabla | Hacé Cuentas,¿Cuántos FPS necesitás según los Hz de tu monitor?,entretenimiento,CalcLayoutV2 ([...slug].astro),fps ideal segun hz monitor,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,1,entretenimiento,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-afinacion-frecuencia-nota,calculadora-afinacion-frecuencia-nota,Frecuencia de Notas Musicales: calculadora + tabla Hz | Hacé Cuentas,Frecuencia de Notas Musicales en Hz — Calculadora y Tabla Completa,entretenimiento,CalcLayoutV2 ([...slug].astro),frecuencia notas musicales,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-almacenamiento-juegos-gb,calculadora-almacenamiento-juegos-gb,Calculadora de Almacenamiento para Juegos (GB) 2026,Calculadora de Almacenamiento para Juegos (GB),entretenimiento,CalcLayoutV2 ([...slug].astro),almacenamiento juegos gb,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-bpm-tempo-cancion,calculadora-bpm-tempo-cancion,Calculadora de BPM y Tempo 2026 — Beats por Minuto,Calculadora de BPM (Beats por Minuto) y Tempo,entretenimiento,CalcLayoutV2 ([...slug].astro),calculadora bpm,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-fantasy-mundial-2026-mejor-once,calculadora-fantasy-mundial-2026-mejor-once,Fantasy Mundial 2026 — Mejor once torneo | Hacé Cuentas,Mejor once — Fantasy Mundial 2026 (torneo corto),deportes,CalcLayoutV2 ([...slug].astro),fantasy mundial 2026,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-mundial-2026-botin-oro-goleador-estimador,calculadora-mundial-2026-botin-oro-goleador-estimador,Botín de Oro Mundial 2026 — Estimador goleador,Mundial 2026 — Estimador de Bota/Botín de Oro (goleador del torneo),deportes,CalcLayoutV2 ([...slug].astro),botin de oro mundial 2026,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-regalias-spotify-por-pais-streams-dolares,calculadora-regalias-spotify-por-pais-streams-dolares,Regalías Spotify por País — Calculadora Streams 2026,Calculadora de Regalías Spotify por País (Streams a USD 2026),entretenimiento,CalcLayoutV2 ([...slug].astro),cuanto paga spotify por stream,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-streamer-setup-presupuesto,calculadora-streamer-setup-presupuesto,¿Cuánto cuesta el setup streamer? Calculadora + desglose por nivel | Hacé Cuentas,Calculadora de presupuesto para setup de streaming,marketing,CalcLayoutV2 ([...slug].astro),cuanto cuesta setup streamer,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-compas-tiempo-pulso,calculadora-compas-tiempo-pulso,"Calculadora de Compás, Tiempo y Pulso Musical 2026","Calculadora de Compás, Tiempo y Pulso Musical",entretenimiento,CalcLayoutV2 ([...slug].astro),duracion compas musical,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-configuracion-pc-bottleneck,calculadora-configuracion-pc-bottleneck,Calculadora de Cuello de Botella (Bottleneck) PC 2026,Calculadora de Cuello de Botella (Bottleneck) PC,entretenimiento,CalcLayoutV2 ([...slug].astro),calculadora bottleneck,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
/calculadora-consumo-datos-moviles-streaming,calculadora-consumo-datos-moviles-streaming,Consumo de Datos Móviles por Streaming 2026 | Hacé Cuentas,Consumo de Datos Móviles por Streaming 2026,tecnologia,CalcLayoutV2 ([...slug].astro),consumo datos moviles streaming,Ocio en casa (tiempo/cantidad),(self),Sí,Sí,0,entretenimiento,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media
