proposed_title,proposed_slug,reason,existing_equivalent,evidence
Calculadora de presupuesto de vacaciones,calculadora-presupuesto-vacaciones,ALREADY_EXISTS,presupuesto-viaje.json,"Presupuesto de viaje / vacaciones existente"
Calculadora de equipaje por viajeros,calculadora-equipaje-viajeros,ALREADY_EXISTS,equipaje-vuelo.json,"Equipaje y sobrepeso ya existe"
Calculadora de estacionamiento,calculadora-estacionamiento,ALREADY_EXISTS,estacionamiento-medido-hora-caba-zona.json,"Estacionamiento medido por hora"
Calculadora de consumo ida y vuelta,calculadora-consumo-ida-vuelta,DUPLICATE_INTENT,costo-viaje-combustible-kilometros.json,"El master de viaje ya contempla ida y vuelta"
Calculadora de pintura para paredes,calculadora-pintura-paredes,ALREADY_EXISTS,pintura-m2.json,"Pintura por m2 cubre paredes y techos"
Calculadora de pintura para techo,calculadora-pintura-techo,ALREADY_EXISTS,pintura-m2.json,"Pintura por m2 cubre todas las superficies"
Calculadora de ceramicos,calculadora-ceramicos,ALREADY_EXISTS,pisos-ceramicos.json,"Ceramicos y pisos ya existe"
Calculadora de pisos,calculadora-pisos,ALREADY_EXISTS,pisos-ceramicos.json,"Pisos ceramicos y flotante existentes"
Calculadora de ladrillos,calculadora-ladrillos,ALREADY_EXISTS,ladrillos-m2.json,"Ladrillos por m2 ya existe"
Calculadora de cemento,calculadora-cemento,ALREADY_EXISTS,cemento-m3.json,"Cemento por m3 ya existe"
Calculadora de arena,calculadora-arena,ALREADY_EXISTS,calculadora-arena-grava-hormigon.json,"Arena, grava y hormigon ya existe"
Calculadora de mezcla,calculadora-mezcla,ALREADY_EXISTS,calculadora-revoque-cemento-cal-arena.json,"Revoque cemento-cal-arena cubre la mezcla"
Calculadora de placas de yeso,calculadora-placas-yeso,ALREADY_EXISTS,yeso-cielorraso-placas-m2.json,"Placas de yeso por m2 ya existe"
Calculadora de pastina,calculadora-pastina,ALREADY_EXISTS,juntas-pastina-rejuntado-ceramicos-kg.json,"Pastina para juntas ya existe"
Calculadora de zocalos,calculadora-zocalos,ALREADY_EXISTS,zocalo-metros-lineal.json,"Zocalo metros lineales ya existe"
Calculadora de cesped,calculadora-cesped,ALREADY_EXISTS,cesped-semillas-kg-m2.json,"Semillas de cesped por m2 ya existe"
Calculadora de volumen de pileta,calculadora-volumen-pileta,ALREADY_EXISTS,pileta-natacion-litros-m3.json,"Volumen de pileta en litros/m3"
Calculadora de agua para llenar pileta,calculadora-agua-llenar-pileta,ALREADY_EXISTS,costo-mensual-pileta.json,"Costo mensual de pileta incluye agua"
Calculadora de iluminacion por ambiente,calculadora-iluminacion-ambiente,ALREADY_EXISTS,iluminacion-lux-ambiente.json,"Iluminacion en lux por ambiente"
Calculadora de aire acondicionado por ambiente,calculadora-aire-ambiente,ALREADY_EXISTS,aire-acondicionado-frigorias-ambiente.json,"Frigorias/BTU por ambiente"
Calculadora de presupuesto de materiales,calculadora-presupuesto-materiales,ALREADY_EXISTS,costo-m2-construccion.json,"Costo por m2 de construccion"
Calculadora de ahorro mensual para una meta,calculadora-ahorro-mensual-meta,ALREADY_EXISTS,ahorro-objetivo-mensual.json,"Ahorro objetivo mensual ya existe"
Calculadora de tiempo necesario para ahorrar,calculadora-tiempo-ahorrar,ALREADY_EXISTS,regla-72-duplicar-dinero.json,"Regla del 72 y proyeccion de ahorro"
Calculadora de fondo de emergencia,calculadora-fondo-emergencia,ALREADY_EXISTS,fondo-emergencia-meses-gastos-cuanto.json,"Existente; se agrego guia y comparacion nuevas en su lugar"
Calculadora para dividir gastos mensuales,calculadora-dividir-gastos-mensuales,ALREADY_EXISTS,split-gastos-grupo-amigos.json,"Split de gastos ya cubre gastos compartidos"
Calculadora de costo de suscripcion anual,calculadora-costo-suscripcion-anual,ALREADY_EXISTS,costo-suscripciones-mensual.json,"Costo de suscripciones mensual/anual"
Calculadora de aumento porcentual,calculadora-aumento-porcentual,DUPLICATE_INTENT,porcentaje.json,"porcentaje.json resuelve 5 tipos incluida variacion/aumento porcentual"
Calculadora de descuento acumulado,calculadora-descuento-acumulado,ALREADY_EXISTS,descuento-porcentaje-precio.json,"Descuentos sucesivos ya cubiertos"
Calculadora de interes simple,calculadora-interes-simple,ALREADY_EXISTS,interes-simple.json,"Interes simple ya existe"
Calculadora de interes compuesto,calculadora-interes-compuesto,ALREADY_EXISTS,interes-compuesto.json,"Interes compuesto con aportes ya existe"
Calculadora de costo real de compra en cuotas,calculadora-costo-real-cuotas,ALREADY_EXISTS,costo-real-cuotas-vs-contado.json,"Costo real de cuotas vs contado"
Calculadora de promedio ponderado,calculadora-promedio-ponderado,ALREADY_EXISTS,promedio-ponderado-universidad.json,"Promedio ponderado ya existe"
Calculadora de nota necesaria para aprobar,calculadora-nota-aprobar,ALREADY_EXISTS,nota-necesaria-aprobar.json,"Nota necesaria para aprobar ya existe"
Calculadora de porcentaje de asistencia,calculadora-porcentaje-asistencia,ALREADY_EXISTS,indice-asistencia-faltas.json,"Indice de asistencia y faltas ya existe"
Calculadora de regla de tres,calculadora-regla-tres,ALREADY_EXISTS,regla-tres.json,"Regla de tres simple/inversa; se creo la COMPUESTA que faltaba"
Calculadora de margen de ganancia,calculadora-margen-ganancia,ALREADY_EXISTS,margen-ganancia.json,"Margen de ganancia ya existe"
Calculadora de markup,calculadora-markup,ALREADY_EXISTS,precio-venta-producto-markup.json,"Markup y precio de venta ya existe"
Calculadora de punto de equilibrio,calculadora-punto-equilibrio,ALREADY_EXISTS,punto-equilibrio-opciones.json,"Punto de equilibrio ya existe"
Calculadora de precio de venta,calculadora-precio-venta,ALREADY_EXISTS,precio-venta-producto-markup.json,"Precio de venta con markup ya existe"
Calculadora de comision por venta,calculadora-comision-venta,ALREADY_EXISTS,comision-venta.json,"Comision por venta ya existe"
Calculadora de propina y dividir la cuenta,calculadora-propina-dividir,ALREADY_EXISTS,propina-dividir-cuenta.json,"Propina y division de cuenta ya existe"
Calculadora de precio por kilo o litro,calculadora-precio-kilo-litro,ALREADY_EXISTS,precio-por-kilo-litro.json,"Precio unitario por kilo/litro ya existe"
Calculadora regla 50/30/20,calculadora-regla-50-30-20,ALREADY_EXISTS,regla-50-30-20.json,"Presupuesto 50/30/20 ya existe"
Calculadora de ahorro por dejar un gasto diario,calculadora-ahorro-gasto-diario,ALREADY_EXISTS,ahorro-dejar-fumar.json,"Ahorro por dejar un habito ya existe"
Calculadora de descuentos sucesivos,calculadora-descuentos-sucesivos,DUPLICATE_INTENT,descuento-porcentaje-precio.json,"Descuentos encadenados ya cubiertos"
Calculadora de tiempo de carga auto electrico,calculadora-carga-auto-electrico,ALREADY_EXISTS,costo-cargar-auto-electrico-vs-nafta.json,"Costo/tiempo de carga de auto electrico ya existe"
Calculadora de consumo electrico de electrodomestico,calculadora-consumo-electrico,ALREADY_EXISTS,consumo-electrico.json,"Consumo electrico en kWh ya existe"
Calculadora de membrana asfaltica por m2,calculadora-membrana-m2,ALREADY_EXISTS,impermeabilizacion-techo-membrana-rollos-m2-costo.json,"Membrana en rollos por m2 ya existe"
Calculadora de deck de madera,calculadora-deck-madera,ALREADY_EXISTS,deck-madera-tablas-tornillos.json,"Deck de madera ya existe"
Calculadora de alambrado o cerco,calculadora-alambrado-cerco,ALREADY_EXISTS,alambre-cerco.json,"Alambrado y cerco perimetral ya existe"
Calculadora de riego por goteo,calculadora-riego-goteo,ALREADY_EXISTS,riego-goteo-litros.json,"Riego por goteo ya existe"
